ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	NOTES	SOURCE
1	Paraguayan Guarani	one	peteĩ	peteĩ	p e t e ĩ	10	one	Guarani-speaking people originally counted up to four. The present Paraguayan Guarani numeral system is attributed to Reinaldo Decoud Larrosa.	ParaguayanGuarani1[100] ParaguayanGuarani2[155]
2	Paraguayan Guarani	two	mokõi	mokõi	m o k õ i	2	two		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
3	Paraguayan Guarani	three	mbohapy	ᵐbohapɨ	ᵐb o h a p ɨ	7	three		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
4	Paraguayan Guarani	four	irundy	iɾuⁿdɨ	i ɾ u ⁿd ɨ	1	four		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
5	Paraguayan Guarani	five	po	po	p o	3	five		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
6	Paraguayan Guarani	six	poteĩ	poteĩ	p o + -/p -/e t e ĩ	3 10	five one	the morpheme teĩ is the shortened form of peteĩ	ParaguayanGuarani1[100] ParaguayanGuarani2[155]
7	Paraguayan Guarani	seven	pokõi	pokõi	p o + -/m -/o k õ i	3 2	five two	the morpheme kõi is the shortened form of mokõi	ParaguayanGuarani1[100] ParaguayanGuarani2[155]
8	Paraguayan Guarani	eight	poapy	poapɨ	p o + -/ᵐb -/o -/h a p ɨ	3 7	five three	the morpheme apɨ is the shortened form of ᵐbohapɨ	ParaguayanGuarani1[100] ParaguayanGuarani2[155]
9	Paraguayan Guarani	nine	porundy	poɾuⁿdɨ	p o + -/i ɾ u ⁿd ɨ	3 1	five four	the morpheme ɾuⁿdɨ is the shortened form of iɾuⁿdɨ	ParaguayanGuarani1[100] ParaguayanGuarani2[155]
10	Paraguayan Guarani	ten	pa	pa	p a	8	ten	pa stems from "opa ‘end, totality, complete’, because 10 is the modern decimal system." (ParaguayanGuarani1[100])	ParaguayanGuarani1[100] ParaguayanGuarani2[155]
11	Paraguayan Guarani	eleven	pateĩ	pateĩ	p a + -/p -/e t e ĩ	8 10	ten one		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
12	Paraguayan Guarani	twelve	pakõi	pakõi	p a + -/m -/o k õ i	8 2	ten two		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
13	Paraguayan Guarani	thirteen	pa'apy	paʔapɨ	p a + ʔ + -/ᵐb -/o -/h a p ɨ	8 4 2007	ten INSERTION three		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
14	Paraguayan Guarani	fourteen	parundy	paɾuⁿdɨ	p a + -/i ɾ u ⁿd ɨ	8 1	ten four		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
15	Paraguayan Guarani	fifteen	papo	papo	p a + p o	8 3	ten five		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
16	Paraguayan Guarani	sixteen	papoteĩ	papoteĩ	p a + p o + -/p -/e t e ĩ	8 3 10	ten five one		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
17	Paraguayan Guarani	seventeen	papokõi	papokõi	p a + p o + -/m -/o k õ i	8 3 2002	ten five two		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
