ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGID	NOTE
1	Lamjung Yolmo	one	tɕíi	t ɕ í i	one	t ɕ í i	1	
2	Lamjung Yolmo	two	ɲíi	ɲ í i	two	ɲ í i	2	
3	Lamjung Yolmo	three	súm	s ú m	three	s ú m	3	
4	Lamjung Yolmo	four	ʑì	ʑ ì	four	ʑ ì	4	
5	Lamjung Yolmo	five	ŋá	ŋ á	five	ŋ á	5	
6	Lamjung Yolmo	six	ʈùu	ʈ ù u	six	ʈ ù u	6	
7	Lamjung Yolmo	seven	tìn	t ì n	seven	t ì n	7	
8	Lamjung Yolmo	eight	kyèe	k y è e	eight	k y è e	8	
9	Lamjung Yolmo	nine	kù	k ù	nine	k ù	9	
10	Lamjung Yolmo	ten	tɕú	t ɕ ú	ten	t ɕ ú	10	
11	Lamjung Yolmo	eleven	tɕúuʑi	t ɕ ú u + ʑ i	ten one	t ɕ ú u + ʑ i + t ɕ ú u + ʑ i	10 1	
12	Lamjung Yolmo	twelve	tɕíŋii	t ɕ í + ŋ i i	ten two	t ɕ í + ŋ i i + t ɕ í + ŋ i i	10 2	
13	Lamjung Yolmo	thirteen	tɕúusum	t ɕ ú u + s u m	ten three	t ɕ ú u + s u m + t ɕ ú u + s u m	10 3	
14	Lamjung Yolmo	fourteen	tɕúpɕi	t ɕ ú p + ɕ i	ten four	t ɕ ú p + ɕ i + t ɕ ú p + ɕ i	10 4	
15	Lamjung Yolmo	fifteen	tɕéeŋa	t ɕ é e + ŋ a	ten five	t ɕ é e + ŋ a + t ɕ é e + ŋ a	10 5	
16	Lamjung Yolmo	sixteen	tɕíiru	t ɕ í i + r u	ten six	t ɕ í i + r u + t ɕ í i + r u	10 6	
17	Lamjung Yolmo	seventeen	tɕúptin	t ɕ ú p + t i n	ten seven	t ɕ ú p + t i n + t ɕ ú p + t i n	10 7	
18	Lamjung Yolmo	eighteen	tɕápkye	t ɕ á p + k y e	ten eight	t ɕ á p + k y e + t ɕ á p + k y e	10 8	
19	Lamjung Yolmo	ninteen	tɕúrku	t ɕ ú r + k u	ten nine	t ɕ ú r + k u + t ɕ ú r + k u	10 9	
20	Lamjung Yolmo	twenty	khál ɕíi	k h á l + ɕ í i	twenty one	k h á l + ɕ í i + k h á l + ɕ í i	11 1	vigesimal
41	Lamjung Yolmo	twenty	ɲídʑu	ɲ í + d ʑ u	two ten	ɲ í + d ʑ u + ɲ í + d ʑ u	2 10	decimal
21	Lamjung Yolmo	twenty one	khál tɕíi tɕíi	k h á l + t ɕ í i + t ɕ í i	twenty one one	k h á l + t ɕ í i + t ɕ í i + k h á l + t ɕ í i + t ɕ í i + k h á l + t ɕ í i + t ɕ í i	11 1 1	vigesimal
42	Lamjung Yolmo	twenty one	ɲídʑu tɕíi	ɲ í + d ʑ u + t ɕ í i	two ten one	ɲ í + d ʑ u + t ɕ í i + ɲ í + d ʑ u + t ɕ í i + ɲ í + d ʑ u + t ɕ í i	2 10 1	decimal
22	Lamjung Yolmo	twenty two	khál tɕíi ɲíi	k h á l + t ɕ í i + ɲ í i	twenty one two	k h á l + t ɕ í i + ɲ í i + k h á l + t ɕ í i + ɲ í i + k h á l + t ɕ í i + ɲ í i	11 1 2	vigesimal
43	Lamjung Yolmo	twenty two	ɲídʑu ɲíi	ɲ í + d ʑ u + ɲ í i	two ten two	ɲ í + d ʑ u + ɲ í i + ɲ í + d ʑ u + ɲ í i + ɲ í + d ʑ u + ɲ í i	2 10 2	decimal
23	Lamjung Yolmo	twenty three	khál tɕíi súm	k h á l + t ɕ í i + s ú m	twenty one three	k h á l + t ɕ í i + s ú m + k h á l + t ɕ í i + s ú m + k h á l + t ɕ í i + s ú m	11 1 3	vigesimal
44	Lamjung Yolmo	twenty three	ɲídʑu súm	ɲ í + d ʑ u + s ú m	two ten three	ɲ í + d ʑ u + s ú m + ɲ í + d ʑ u + s ú m + ɲ í + d ʑ u + s ú m	2 10 3	decimal
24	Lamjung Yolmo	twenty four	khál tɕíi ʑì	k h á l + t ɕ í i + ʑ ì	twenty one four	k h á l + t ɕ í i + ʑ ì + k h á l + t ɕ í i + ʑ ì + k h á l + t ɕ í i + ʑ ì	11 1 4	vigesimal
45	Lamjung Yolmo	twenty four	ɲídʑu ʑì	ɲ í + d ʑ u + ʑ ì	two ten four	ɲ í + d ʑ u + ʑ ì + ɲ í + d ʑ u + ʑ ì + ɲ í + d ʑ u + ʑ ì	2 10 4	decimal
25	Lamjung Yolmo	twenty five	khál tɕíi ŋá	k h á l + t ɕ í i + ŋ á	twenty one five	k h á l + t ɕ í i + ŋ á + k h á l + t ɕ í i + ŋ á + k h á l + t ɕ í i + ŋ á	11 1 5	vigesimal
46	Lamjung Yolmo	twenty five	ɲídʑu ŋá	ɲ í + d ʑ u + ŋ á	two ten five	ɲ í + d ʑ u + ŋ á + ɲ í + d ʑ u + ŋ á + ɲ í + d ʑ u + ŋ á	2 10 5	decimal
26	Lamjung Yolmo	twenty six	khál tɕíi ʈúu	k h á l + t ɕ í i + ʈ ú u	twenty one six	k h á l + t ɕ í i + ʈ ú u + k h á l + t ɕ í i + ʈ ú u + k h á l + t ɕ í i + ʈ ú u	11 1 6	vigesimal
47	Lamjung Yolmo	twenty six	ɲídʑu ʈùu	ɲ í + d ʑ u + ʈ ù u	two ten six	ɲ í + d ʑ u + ʈ ù u + ɲ í + d ʑ u + ʈ ù u + ɲ í + d ʑ u + ʈ ù u	2 10 6	decimal
27	Lamjung Yolmo	twenty seven	kál tɕíi tìn	k á l + t ɕ í i + t ì n	twenty one seven	k á l + t ɕ í i + t ì n + k á l + t ɕ í i + t ì n + k á l + t ɕ í i + t ì n	11 1 7	vigesimal. possible typo in source
