ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE
1	Huallaga_Quechua	one	juc	huk	h u k	1	one	HuallagaQuechua1 HuallagaQuechua2[645]
2	Huallaga_Quechua	two	ishcay	iʃkaj	i ʃ k a j	2	two	HuallagaQuechua1 HuallagaQuechua2[645]
3	Huallaga_Quechua	three	quimsa	kimsa	k i m s a	5	three	HuallagaQuechua1 HuallagaQuechua2[645]
4	Huallaga_Quechua	four	chuscu	tʃusku	tʃ u s k u	11	four	HuallagaQuechua1 HuallagaQuechua2[645]
5	Huallaga_Quechua	five	pichga	pitʃqa	p i tʃ q a	6	five	HuallagaQuechua1 HuallagaQuechua2[645]
6	Huallaga_Quechua	six	sojta	soqta	s o q t a	9	six	HuallagaQuechua1 HuallagaQuechua2[645]
7	Huallaga_Quechua	seven	ganchis	qantʃis	q a n tʃ i s	8	seven	HuallagaQuechua1 HuallagaQuechua2[645]
8	Huallaga_Quechua	eight	pusaj	pusaq	p u s a q	7	eight	HuallagaQuechua1 HuallagaQuechua2[645]
9	Huallaga_Quechua	nine	isgon	isqon	i s q o n	4	nine	HuallagaQuechua1 HuallagaQuechua2[645]
10	Huallaga_Quechua	ten	chunca	tʃuŋka	tʃ u ŋ k a	10	ten	HuallagaQuechua1 HuallagaQuechua2[645]
11	Huallaga_Quechua	eleven	chunca juc	tʃuŋka huk	tʃ u ŋ k a + h u k	10 1	ten one	HuallagaQuechua1 HuallagaQuechua2[645]
12	Huallaga_Quechua	twelve	chunca ishcay	tʃuŋka iʃkaj	tʃ u ŋ k a + i ʃ k a j	10 2	ten two	HuallagaQuechua1 HuallagaQuechua2[645]
13	Huallaga_Quechua	thirteen	chunca quimsa	tʃuŋka kimsa	tʃ u ŋ k a + k i m s a	10 5	ten three	HuallagaQuechua1 HuallagaQuechua2[645]
14	Huallaga_Quechua	fourteen	chunca chuscu	tʃuŋka tʃusku	tʃ u ŋ k a + tʃ u s k u	10 11	ten four	HuallagaQuechua1 HuallagaQuechua2[645]
15	Huallaga_Quechua	fifteen	chunca pichga	tʃuŋka pitʃqa	tʃ u ŋ k a + p i tʃ q a	10 6	ten five	HuallagaQuechua1 HuallagaQuechua2[645]
16	Huallaga_Quechua	sixteen	chunca sojta	tʃuŋka soqta	tʃ u ŋ k a + s o q t a	10 9	ten six	HuallagaQuechua1 HuallagaQuechua2[645]
17	Huallaga_Quechua	seventeen	chunca ganchis	tʃuŋka qantʃis	tʃ u ŋ k a + q a n tʃ i s	10 8	ten seven	HuallagaQuechua1 HuallagaQuechua2[645]
18	Huallaga_Quechua	eighteen	chunca pusaj	tʃuŋka pusaq	tʃ u ŋ k a + p u s a q	10 7	ten eight	HuallagaQuechua1 HuallagaQuechua2[645]
19	Huallaga_Quechua	nineteen	chunca isgon	tʃuŋka isqon	tʃ u ŋ k a + i s q o n	10 4	ten nine	HuallagaQuechua1 HuallagaQuechua2[645]
20	Huallaga_Quechua	twenty	ishcay chunca	iʃkaj tʃuŋka	i ʃ k a j + tʃ u ŋ k a	2 10	two ten	HuallagaQuechua1 HuallagaQuechua2[645]
21	Huallaga_Quechua	twenty one	ishcay chunca juc	iʃkaj tʃuŋka huk	i ʃ k a j + tʃ u ŋ k a + h u k	2 10 2001	two ten one	HuallagaQuechua1 HuallagaQuechua2[645]
22	Huallaga_Quechua	twenty two	ishcay chunca ishcay	iʃkaj tʃuŋka iʃkaj	i ʃ k a j + tʃ u ŋ k a + i ʃ k a j	2 10 2002	two ten two	HuallagaQuechua1 HuallagaQuechua2[645]
