ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Kumzari	one	yak	j a k	one	j a k	12		WalAnonby2015
2	Kumzari	two	dō	d oː	two	d oː	25		WalAnonby2015
3	Kumzari	three	sō	s oː	three	s oː	21		WalAnonby2015
4	Kumzari	four	čār	ʧ aː r	four	ʧ aː r	8		WalAnonby2015
5	Kumzari	five	panj	p a n ʤ	five	p a n ʤ	5		WalAnonby2015
6	Kumzari	six	šaš	ʃ a ʃ	six	ʃ a ʃ	16		WalAnonby2015
7	Kumzari	seven	aft	a f t	seven	a f t	14		WalAnonby2015
8	Kumzari	eight	ašt	aː j a ʃ t	eight	a ʃ t	2		WalAnonby2015
9	Kumzari	nine	nā	n aː	nine	n aː	9		WalAnonby2015
10	Kumzari	ten	da	d a	ten	d a	19		WalAnonby2015
11	Kumzari	eleven	yāẓda	j aː zˠ + d a	one2 ten	j aː zˠ + d a	13 19		WalAnonby2015
12	Kumzari	twelve	dwāẓda	d w aː zˠ + d a	two3 ten	d w aː zˠ + d a	27 19		WalAnonby2015
13	Kumzari	thirteen	sēẓda	s eː zˠ + d a	three3 ten	s eː zˠ + d a	23 19		WalAnonby2015
14	Kumzari	fourteen	čārda	ʧ aː r + d a	four ten	ʧ aː r + d a	8 19		WalAnonby2015
15	Kumzari	fifteen	pānḍa	p aː n + dˠ/d a	five2 ten	p aː n + dˠ a	6 19	Emphatic dˠa allomorph found only after nasals; plausibly phonologically predictable, though grammar does not refer to any synchronic alternations between emphatic and non-emphatic Cs	WalAnonby2015
16	Kumzari	sixteen	šānḍa	ʃ aː n + dˠ/d a	six2 ten	ʃ aː n + dˠ a	17 19		WalAnonby2015
17	Kumzari	seventeen	afda	a f -/t + d a	seven ten	a f + d a	14 19		WalAnonby2015
18	Kumzari	eighteen	āyda	aː j a ʃ t + d a	eight ten	aː j + d a	2 19		WalAnonby2015
19	Kumzari	nineteen	nōẓda	n oː zˠ + d a	nine2 ten	n oː zˠ + d a	10 19		WalAnonby2015
20	Kumzari	twenty	bīs	b iː s	twenty	b iː s	24		WalAnonby2015
21	Kumzari	twenty one	yakbīs	j a k + b iː s	one twenty	j a k + b iː s	12 24		WalAnonby2015
22	Kumzari	twenty two	dibīs	d i + b iː s	two2 twenty	d i + b iː s	26 24		WalAnonby2015
23	Kumzari	twenty three	sibīs	s i + b iː s	three2 twenty	s i + b iː s	22 24		WalAnonby2015
24	Kumzari	twenty four	čārbīs	ʧ aː r + b iː s	four twenty	ʧ aː r + b iː s	8 24		WalAnonby2015
25	Kumzari	twenty five	panjbīs	p a n ʤ + b iː s	five twenty	p a n ʤ + b iː s	5 24		WalAnonby2015
26	Kumzari	twenty six	šašbīs	ʃ a ʃ + b iː s	six twenty	ʃ a ʃ + b iː s	16 24		WalAnonby2015
27	Kumzari	twenty seven	aftbīs	a f t + b iː s	seven twenty	a f t + b iː s	14 24		WalAnonby2015
28	Kumzari	twenty eight	aštbīs	aː j a ʃ t + b iː s	eight twenty	a ʃ t + b iː s	2 24		WalAnonby2015
29	Kumzari	twenty nine	nābīs	n aː + b iː s	nine twenty	n aː + b iː s	9 24		WalAnonby2015
30	Kumzari	thirty 	sī	s iː	thirty	s iː	20		WalAnonby2015
31	Kumzari	thirty one	yaksī	j a k + s iː	one thirty	j a k + s iː	12 20		WalAnonby2015
32	Kumzari	thirty two	disī	d i + s iː	two2 thirty	d i + s iː	26 20		WalAnonby2015
33	Kumzari	thirty three	sisī	s i + s iː	three2 thirty	s i + s iː	22 20		WalAnonby2015
34	Kumzari	thirty four	čārsī	ʧ aː r + s iː	four thirty	ʧ aː r + s iː	8 20		WalAnonby2015
35	Kumzari	thirty five	panjsī	p a n ʤ + s iː	five thirty	p a n ʤ + s iː	5 20		WalAnonby2015
36	Kumzari	thirty six	šašsī	ʃ a ʃ + s iː	six thirty	ʃ a ʃ + s iː	16 20		WalAnonby2015
37	Kumzari	thirty seven	aftsī	a f t  + s iː	seven thirty	a f t + s iː	14 20		WalAnonby2015
38	Kumzari	thirty eight	aštsī	aː j a ʃ t + s iː	eight thirty	a ʃ t + s iː	2 20		WalAnonby2015
39	Kumzari	thirty nine	nāsī	n aː + s iː	nine thirty	n aː + s iː	9 20		WalAnonby2015
40	Kumzari	forty 	čil	ʧ i l	forty	ʧ i l	7		WalAnonby2015
41	Kumzari	forty one	yakčil	j a k + ʧ i l	one forty	j a k + ʧ i l	12 7		WalAnonby2015
42	Kumzari	forty two	dičil	d i + ʧ i l	two2 forty	d i + ʧ i l	26 7		WalAnonby2015
43	Kumzari	forty three	sičil	s i + ʧ i l	three2 forty	s i + ʧ i l	22 7		WalAnonby2015
44	Kumzari	forty four	čārčil	ʧ aː r + ʧ i l	four forty	ʧ aː r + ʧ i l	8 7		WalAnonby2015
45	Kumzari	forty five	panjčil	p a n ʤ + ʧ i l	five forty	p a n ʤ + ʧ i l	5 7		WalAnonby2015
46	Kumzari	forty six	šaščil	ʃ a ʃ + ʧ i l	six forty	ʃ a ʃ + ʧ i l	16 7		WalAnonby2015
47	Kumzari	forty seven	aftčil	a f t + ʧ i l	seven forty	a f t + ʧ i l	14 7		WalAnonby2015
48	Kumzari	forty eight	aštčil	aː j a ʃ t + ʧ i l	eight forty	a ʃ t + ʧ i l	2 7		WalAnonby2015
49	Kumzari	forty nine	nāčil	n aː + ʧ i l	nine forty	n aː + ʧ i l	9 7		WalAnonby2015
50	Kumzari	fifty 	murr	m u r r	fifty	m u r r	4		WalAnonby2015
51	Kumzari	fifty one	murr u yak	m u r r + u + j a k	fifty and one	m u r r + u + j a k	4 1 12		WalAnonby2015
52	Kumzari	fifty two	murr u dō	m u r r + u + d oː	fifty and two	m u r r + u + d oː	4 1 25		WalAnonby2015
53	Kumzari	fifty three	murr u sō	m u r r + u + s oː	fifty and three	m u r r + u + s oː	4 1 21		WalAnonby2015
