ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	stan1318	one	وَاحِد	waːħidun	w aː ħ i d + u n	one1 nom_sg	w aː ħ i d + u n	1 12		Wright1997Arabic
2	stan1318	one	وَاحِدَة	waːħidatun	w aː ħ i d + a t + u n	one1 suff_gender1 nom_sg	w aː ħ i d + a t + u n	1 13 12	In Semitic, there is polarity of gender after the numerals one and two. Because of that, I won't gloss the morphemes as fem. and masc. The suffix /-at/ marks the feminine on nouns and masculine in numbers.	Wright1997Arabic
3	stan1318	two	اِثْنَان	ʔiθnaːni	ʔ/- i/- θ n + aː n i	two nom_dual	ʔ/- i/- θ n + aː n i	3 14		Wright1997Arabic
4	stan1318	two	اِثْنَتَان	ʔiθnataːni	ʔ/- i/- θ n + a t + aː n i	two suff_gender1 nom_dual	ʔ/- i/- θ n + a t + aː n i	3 13 14		Wright1997Arabic
5	stan1318	three	ثَلَاثَة	θalaːθatun	θ a l aː θ + a t + u n	three suff_gender1 nom_sg	θ a l aː θ + a t + u n	4 13 12		Wright1997Arabic
6	stan1318	three	ثَلَاث	θalaːθun	θ a l aː θ + u n	three nom_sg	θ a l aː θ + u n	4 12		Wright1997Arabic
7	stan1318	four	أَرْبَعَة	ʔarbaʕatun	ʔ a r b a ʕ + a t + u n	four suff_gender1 nom_sg	ʔ a r b a ʕ + a t + u n	5 13 12		Wright1997Arabic
8	stan1318	four	أَرْبَع	ʔarbaʕun	ʔ a r b a ʕ + u n	four nom_sg	ʔ a r b a ʕ + u n	5 12		Wright1997Arabic
9	stan1318	five	خَمْسَة	xamsatun	x a m s + a t + u n	five suff_gender1 nom_sg	x a m s + a t + u n	6 13 12		Wright1997Arabic
10	stan1318	five	خَمْس	xamsun	x a m s + u n	five nom_sg	x a m s + u n	6 12		Wright1997Arabic
11	stan1318	six	سِتَّة	sittatun	s i t t + a t + u n	six suff_gender1 nom_sg	s i t t + a t + u n	7 13 12		Wright1997Arabic
