ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	NOTE	SOURCE
1	Yiddish	one	אײנס	ɛɪns	ɛɪ n s	one	1		Jacobs2005Yiddish
2	Yiddish	two	צװײ	tsvɛɪ	ts v ɛɪ	two	2		Jacobs2005Yiddish
3	Yiddish	three	דרײַ	dʁaɪ	d ʁ aɪ	three	3		Jacobs2005Yiddish
4	Yiddish	four	פֿֿיר	fɪʁ	f ɪ ʁ	four	4		Jacobs2005Yiddish
5	Yiddish	five	פֿֿינף	fɪnf	f ɪ n f	five	5		Jacobs2005Yiddish
6	Yiddish	six	זעקס	zɛks	z ɛ k s	six	6		Jacobs2005Yiddish
7	Yiddish	seven	זיבן	zɪbn	z ɪ b n	seven	7		Jacobs2005Yiddish
8	Yiddish	eight	אַכט	aχt	a χ t	eight	8		Jacobs2005Yiddish
9	Yiddish	nine	נײַן	naɪn	n aɪ n	nine	9		Jacobs2005Yiddish
10	Yiddish	ten	צען	tsɛn	ts ɛ n	ten	10		Jacobs2005Yiddish
11	Yiddish	eleven	עלף	ɛlf	ɛ l f	eleven	11		Jacobs2005Yiddish
12	Yiddish	twelve	צוועלף	tsvɛlf	ts v ɛ l f	twelve	12		Jacobs2005Yiddish
13	Yiddish	thirteen	דרײַצן	dʁaɪtsn	d ʁ aɪ + ts -/ɛ n	three ten	3 10		Jacobs2005Yiddish
14	Yiddish	fourteen	פֿערצן	fɛʁtsn	f ɛ/ɪ ʁ + ts -/ɛ n	four ten	4 10		Jacobs2005Yiddish
15	Yiddish	fifteen	פֿופֿצן	fʊftsn	f ʊ/ɪ -/n f + ts -/ɛ n	five ten	5 10		Jacobs2005Yiddish
16	Yiddish	sixteen	זעכצן	zɛχtsn	z ɛ χ/k -/s + ts -/ɛ n	six ten	6 10		Jacobs2005Yiddish
17	Yiddish	seventeen	זיבעצן	zɪbətsn	z ɪ b ə/- -/n + ts -/ɛ n	seven ten	7 10		Jacobs2005Yiddish
18	Yiddish	eighteen	אַכצן	aχtsn	a χ -/t + ts -/ɛ n	eight ten	8 10		Jacobs2005Yiddish
19	Yiddish	nineteen	נײַנצן	naɪntsn	n aɪ n + ts -/ɛ n	nine ten	9 10		Jacobs2005Yiddish
20	Yiddish	twenty	צוואַנציק	tsvantsɪk	ts v a n + ts ɪ k	twen ty	20 13		Jacobs2005Yiddish
21	Yiddish	twenty one	איין און צוואנציק	ɛɪnʊntsvantsɪk	ɛɪ n -/s + ʊ n + ts v a n + ts ɪ k	one and twen ty	1 14 20 13		Jacobs2005Yiddish
22	Yiddish	twenty two	צוויי און צוואנציק	tsvɛɪʊntsvantsɪk	ts v ɛɪ + ʊ n + ts v a n + ts ɪ k	two and twen ty	2 14 20 13		Jacobs2005Yiddish
23	Yiddish	twenty three	דרײַ און צוואנציק	dʁaɪʊntsvantsɪk	d ʁ aɪ + ʊ n + ts v a n + ts ɪ k	three and twen ty	3 14 20 13		Jacobs2005Yiddish
24	Yiddish	twenty four	פֿֿיר און צוואנציק	fɪʁʊntsvantsɪk	f ɪ ʁ + ʊ n + ts v a n + ts ɪ k	four and twen ty	4 14 20 13		Jacobs2005Yiddish
25	Yiddish	twenty five	פֿֿינף און צוואנציק	fɪnfʊntsvantsɪk	f ɪ n f + ʊ n + ts v a n + ts ɪ k	five and twen ty	5 14 20 13		Jacobs2005Yiddish
26	Yiddish	twenty six	זעקס און צוואנציק	zɛksʊntsvantsɪk	z ɛ k s + ʊ n + ts v a n + ts ɪ k	six and twen ty	6 14 20 13		Jacobs2005Yiddish
27	Yiddish	twenty seven	זיבן און צוואנציק	zɪbnʊntsvantsɪk	z ɪ b n + ʊ n + ts v a n + ts ɪ k	seven and twen ty	7 14 20 13		Jacobs2005Yiddish
28	Yiddish	twenty eight	אַכט און צוואנציק	aχtʊntsvantsɪk	a χ t + ʊ n + ts v a n + ts ɪ k	eight and twen ty	8 14 20 13		Jacobs2005Yiddish
29	Yiddish	twenty nine	נײַן און צוואנציק	naɪnʊntsvantsɪk	n aɪ n + ʊ n + ts v a n + ts ɪ k	nine and twen ty	9 14 20 13		Jacobs2005Yiddish
30	Yiddish	thirty	דרײַסיק	dʁaɪsɪk	d ʁ aɪ + s/ts ɪ k	three ty	3 13		Jacobs2005Yiddish
31	Yiddish	thirty one	אײנס און דרײַסיק	ɛɪnʊndʁaɪsɪk	ɛɪ n -/s + ʊ n + d ʁ aɪ + s/ts ɪ k	one and three ty	1 14 3 13		Jacobs2005Yiddish
32	Yiddish	thirty two	צװײ און דרײַסיק	tsvɛɪʊndʁaɪsɪk	ts v ɛɪ + ʊ n + d ʁ aɪ + s/ts ɪ k	two and three ty	2 14 3 13		Jacobs2005Yiddish
33	Yiddish	thirty three	דרײַ און דרײַסיק	dʁaɪʊndʁaɪsɪk	d ʁ aɪ + ʊ n + d ʁ aɪ + s/ts ɪ k	three and three ty	3 14 3 13		Jacobs2005Yiddish
34	Yiddish	thirty four	פֿֿיר און דרײַסיק	fɪʁʊndʁaɪsɪk	f ɪ ʁ + ʊ n + d ʁ aɪ + s/ts ɪ k	four and three ty	4 14 3 13		Jacobs2005Yiddish
35	Yiddish	thirty five	פֿֿינף און דרײַסיק	fɪnfʊndʁaɪsɪk	f ɪ n f + ʊ n + d ʁ aɪ + s/ts ɪ k	five and three ty	5 14 3 13		Jacobs2005Yiddish
36	Yiddish	thirty six	זעקס און דרײַסיק	zɛksʊndʁaɪsɪk	z ɛ k s + ʊ n + d ʁ aɪ + s/ts ɪ k	six and three ty	6 14 3 13		Jacobs2005Yiddish
37	Yiddish	thirty seven	זיבן און דרײַסיק	zɪbnʊndʁaɪsɪk	z ɪ b n + ʊ n + d ʁ aɪ + s/ts ɪ k	seven and three ty	7 14 3 13		Jacobs2005Yiddish
38	Yiddish	thirty eight	אַכט און דרײַסיק	aχtʊndʁaɪsɪk	a χ t + ʊ n + d ʁ aɪ + s/ts ɪ k	eight and three ty	8 14 3 13		Jacobs2005Yiddish
39	Yiddish	thirty nine	נײַן און דרײַסיק	naɪnʊndʁaɪsɪk	n aɪ n + ʊ n + d ʁ aɪ + s/ts ɪ k	nine and three ty	9 14 3 13		Jacobs2005Yiddish
40	Yiddish	forty	פֿערציק	fɛʁtsɪk	f ɛ/ɪ ʁ + ts ɪ k	four ty	4 13		Jacobs2005Yiddish
41	Yiddish	forty one	אײנס און פֿערציק	ɛɪnʊnfɛʁtsɪk	ɛɪ n -/s + ʊ n + f ɛ/ɪ ʁ + ts ɪ k	one and four ty	1 14 4 13		Jacobs2005Yiddish
42	Yiddish	forty two	צװײ און פֿערציק	tsvɛɪʊnfɛʁtsɪk	ts v ɛɪ + ʊ n + f ɛ/ɪ ʁ + ts ɪ k	two and four ty	2 14 4 13		Jacobs2005Yiddish
43	Yiddish	forty three	דרײַ און פֿערציק	dʁaɪʊnfɛʁtsɪk	d ʁ aɪ + ʊ n + f ɛ/ɪ ʁ + ts ɪ k	three and four ty	3 14 4 13		Jacobs2005Yiddish
44	Yiddish	forty four	פֿֿיר און פֿערציק	fɪʁʊnfɛʁtsɪk	f ɪ ʁ + ʊ n + f ɛ/ɪ ʁ + ts ɪ k	four and four ty	4 14 4 13		Jacobs2005Yiddish
45	Yiddish	forty five	פֿֿינף און פֿערציק	fɪnfʊnfɛʁtsɪk	f ɪ n f + ʊ n + f ɛ/ɪ ʁ + ts ɪ k	five and four ty	5 14 4 13		Jacobs2005Yiddish
46	Yiddish	forty six	זעקס און פֿערציק	zɛksʊnfɛʁtsɪk	z ɛ k s + ʊ n + f ɛ/ɪ ʁ + ts ɪ k	six and four ty	6 14 4 13		Jacobs2005Yiddish
47	Yiddish	forty seven	זיבן און פֿערציק	zɪbnʊnfɛʁtsɪk	z ɪ b n + ʊ n + f ɛ/ɪ ʁ + ts ɪ k	seven and four ty	7 14 4 13		Jacobs2005Yiddish
