ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
1	Aymara	one	maya	maja	m a j a	2	one	Aymara1[42] Aymara2[175-176] Aymara3	The Aymara variety featured here is the one spoken in La Paz (Bolivia)
2	Aymara	two	paya	paja	p a j a	3	two	Aymara1[42] Aymara2[175-176] Aymara3	
3	Aymara	three	kimsa	kimsa	k i m s a	1	three	Aymara1[42] Aymara2[175-176] Aymara3	
4	Aymara	four	pusi	pusi	p u s i	8	four	Aymara1[42] Aymara2[175-176] Aymara3	
5	Aymara	five	phisqa	pʰisqa	pʰ i s q a	4	five1	Aymara1[42] Aymara2[175-176] Aymara3	
6	Aymara	six	suxta	suχta	s u χ t a	7	six	Aymara1[42] Aymara2[175-176] Aymara3	
7	Aymara	seven	paqallqu	paqaʎqu	p a -/j -/a + q a ʎ q u	3 6	two five2	Aymara1[42] Aymara2[175-176] Aymara3	Aymara qaʎqu is an old root for 'five' (Aymara6[191])
8	Aymara	eight	kimsaqallqu	kimsaqaʎqu	k i m s a + q a ʎ q u	1 6	three five2	Aymara1[42] Aymara2[175-176] Aymara3	
9	Aymara	nine	llätunka	ʎaːtunka	ʎ aː + t u n k a	9 5	nearly ten	Aymara1[42] Aymara2[175-176] Aymara3	Nine' was literally 'nearly ten' (Aymara6[191])
10	Aymara	ten	tunka	tunka	t u n k a	5	ten	Aymara1[42] Aymara2[175-176] Aymara3	
11	Aymara	eleven	tunka mayani	tunka majani	t u n k a + m a j a + n i	5 2 10	ten one ENUMERATOR	Aymara1[42] Aymara2[175-176] Aymara3	The suffix -ni is used to count and to form numbers. It is labeled enumerador ('enumerator') in Aymara2[205-206]
12	Aymara	twelve	tunka payani	tunka pajani	t u n k a + p a j a + n i	5 3 10	ten two ENUMERATOR	Aymara1[42] Aymara3	
13	Aymara	thirteen	tunka kimsani	tunka kimsani	t u n k a + k i m s a + n i	5 1 10	ten three ENUMERATOR	Aymara1[42] Aymara3	
14	Aymara	fourteen	tunka pusini	tunka pusini	t u n k a + p u s i + n i	5 8 10	ten four ENUMERATOR	Aymara1[42] Aymara3	
15	Aymara	fifteen	tunka phisqani	tunka pʰisqani	t u n k a + pʰ i s q a + n i	5 4 10	ten five1 ENUMERATOR	Aymara1[42] Aymara3	
16	Aymara	sixteen	tunka suxtani	tunka suχtani	t u n k a + s u χ t a + n i	5 7 10	ten six ENUMERATOR	Aymara1[42] Aymara3	
17	Aymara	seventeen	tunka paqallquni	tunka paqaʎquni	t u n k a + p a -/j -/a + q a ʎ q u + n i	5 3 6 10	ten two five2 ENUMERATOR	Aymara1[42] Aymara3	
18	Aymara	eighteen	tunka kimsaqallquni	tunka kimsaqaʎquni	t u n k a + k i m s a + q a ʎ q u + n i	5 1 6 10	ten three five2 ENUMERATOR	Aymara1[42] Aymara3	
19	Aymara	nineteen	tunka llätunkani	tunka ʎaːtunkani	t u n k a + ʎ aː + t u n k a + n i	5 9 5 10	ten nearly ten ENUMERATOR	Aymara1[42] Aymara3	
20	Aymara	twenty	pä tunka	paː tunka	p aː/a -/j -/a + t u n k a	3 5	two ten	Aymara1[42] Aymara2[175-176] Aymara3	
21	Aymara	twenty one	pä tunka mayani	paː tunka majani	p aː/a -/j -/a + t u n k a + m a j a + n i	3 5 2 10	two ten one ENUMERATOR	Aymara2[175-176] Aymara3	
22	Aymara	twenty two	pä tunka payani	paː tunka pajani	p aː/a -/j -/a + t u n k a + p a j a + n i	3 5 3 10	two ten two ENUMERATOR	Aymara2[175-176] Aymara3	
23	Aymara	twenty three	pä tunka kimsani	paː tunka kimsani	p aː/a -/j -/a + t u n k a + k i m s a + n i	3 5 1 10	two ten three ENUMERATOR	Aymara3	
24	Aymara	twenty four	pä tunka pusini	paː tunka pusini	p aː/a -/j -/a + t u n k a + p u s i + n i	3 5 8 10	two ten four ENUMERATOR	Aymara3	
25	Aymara	twenty five	pä tunka phisqani	paː tunka pʰisqani	p aː/a -/j -/a + t u n k a + pʰ i s q a + n i	3 5 4 10	two ten five1 ENUMERATOR	Aymara3	
26	Aymara	twenty six	pä tunka suxtani	paː tunka suχtani	p aː/a -/j -/a + t u n k a + s u χ t a + n i	3 5 7 10	two ten six ENUMERATOR	Aymara3	
27	Aymara	twenty seven	pä tunka paqallquni	paː tunka paqaʎquni	p aː/a -/j -/a + t u n k a + p a -/j -/a + q a ʎ q u + n i	3 5 3 6 10	two ten two five2 ENUMERATOR	Aymara3	
28	Aymara	twenty eight	pä tunka kimsaqallquni	paː tunka kimsaqaʎquni	p aː/a -/j -/a + t u n k a + k i m s a + q a ʎ q u + n i	3 5 1 6 10	two ten three five2 ENUMERATOR	Aymara3	
29	Aymara	twenty nine	pä tunka llätunkani	paː tunka ʎaːtunkani	p aː/a -/j -/a + t u n k a + ʎ aː + t u n k a + n i	3 5 9 5 10	two ten nearly ten ENUMERATOR	Aymara3	
30	Aymara	thirty	kimsa tunka	kimsa tunka	k i m s a + t u n k a	1 5	three ten	Aymara1[42] Aymara2[175-176] Aymara3	
