ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	tigr1270	one	ʾoro	ʔoro	ʔ o r o	one1	ʔ o r o	1		Elias2014Tigre
2	tigr1270	one	ḥatta	ħatta	ħ a t t a	one2	ħ a t t a	2		Elias2014Tigre
3	tigr1270	two	kəlʾot	kɨlʔot	k ɨ l ʔ -/e + o t	two suff_gender	k ɨ l ʔ -/e + o t	3 12		Elias2014Tigre
4	tigr1270	two	kəlʾe	kɨlʔe	k ɨ l ʔ e	two	k ɨ l ʔ e	3		Elias2014Tigre
5	tigr1270	three	salas	salas	s a l a s	three	s a l a s	4		Elias2014Tigre
6	tigr1270	four	ʾarbaʿ	ʔarbaʕ	ʔ a r b a ʕ	four	ʔ a r b a ʕ	5		Elias2014Tigre
7	tigr1270	five	ḥaməs	ħamɨs	ħ a m ɨ s	five	ħ a m ɨ s	6		Elias2014Tigre
8	tigr1270	six	səs	sɨs	s ɨ s	six	s ɨ s	7		Elias2014Tigre
9	tigr1270	seven	sabəʿ	sabɨʕ	s a b ɨ ʕ	seven	s a b ɨ ʕ	8		Elias2014Tigre
10	tigr1270	eight	samān	samaːn	s a m aː n	eight	s a m aː n	9		Elias2014Tigre
11	tigr1270	nine	səʿ	sɨʕ	s ɨ ʕ	nine	s ɨ ʕ	10		Elias2014Tigre
12	tigr1270	ten	ʿasər	ʕasɨr	ʕ a s ɨ r	ten	ʕ a s ɨ r	11		Elias2014Tigre
13	tigr1270	eleven	ʿasər wa-ʾoro 	ʕasɨr wa-ʔoro 	ʕ a s ɨ r + w a + ʔ o r o	ten and one1	ʕ a s ɨ r + w a + ʔ o r o	11 13 1		Elias2014Tigre
14	tigr1270	eleven	ʿasər wa-ḥatta	ʕasɨr wa-ħatta	ʕ a s ɨ r + w a + ħ a t t a	ten and one2	ʕ a s ɨ r + w a + ħ a t t a	11 13 2		Elias2014Tigre
15	tigr1270	twelve	ʿasər wa-kəlʾot	ʕasɨr wa-kɨlʔot	ʕ a s ɨ r + w a + k ɨ l ʔ -/e + o t	ten and two suff_gender	ʕ a s ɨ r + w a + k ɨ l ʔ -/e + o t	11 13 3 12		Elias2014Tigre
16	tigr1270	twelve	ʿasər wa-kəlʾe	ʕasɨr wa-kɨlʔe	ʕ a s ɨ r + w a + k ɨ l ʔ e	ten and two	ʕ a s ɨ r + w a + k ɨ l ʔ e	11 13 3		Elias2014Tigre
17	tigr1270	thirteen	ʿasər wa-salas 	ʕasɨr wa-salas 	ʕ a s ɨ r + w a + s a l a s	ten and three	ʕ a s ɨ r + w a + s a l a s	11 13 4		Elias2014Tigre
18	tigr1270	fourteen	ʿasər wa-ʾarbaʿ	ʕasɨr wa-ʔarbaʕ	ʕ a s ɨ r + w a + ʔ a r b a ʕ	ten and four	ʕ a s ɨ r + w a + ʔ a r b a ʕ	11 13 5		Elias2014Tigre
19	tigr1270	fifteen	ʿasər wa-ḥaməs	ʕasɨr wa-ħamɨs	ʕ a s ɨ r + w a + ħ a m ɨ s	ten and five	ʕ a s ɨ r + w a + ħ a m ɨ s	11 13 6		Elias2014Tigre
20	tigr1270	sixteen	ʿasər wa-səs	ʕasɨr wa-sɨs	ʕ a s ɨ r + w a + s ɨ s	ten and six	ʕ a s ɨ r + w a + s ɨ s	11 13 7		Elias2014Tigre
21	tigr1270	seventeen	ʿasər wa-sabəʿ	ʕasɨr wa-sabɨʕ	ʕ a s ɨ r + w a + s a b ɨ ʕ	ten and seven	ʕ a s ɨ r + w a + s a b ɨ ʕ	11 13 8		Elias2014Tigre
22	tigr1270	eighteen	ʿasər wa-samān	ʕasɨr wa-samaːn	ʕ a s ɨ r + w a + s a m aː n	ten and eight	ʕ a s ɨ r + w a + s a m aː n	11 13 9		Elias2014Tigre
23	tigr1270	nineteen	ʿasər wa-səʿ	ʕasɨr wa-sɨʕ	ʕ a s ɨ r + w a + s ɨ ʕ	ten and nine	ʕ a s ɨ r + w a + s ɨ ʕ	11 13 10		Elias2014Tigre
24	tigr1270	twenty	ʿəšrin	ʕɨʃrin	ʕ ɨ ʃ r + i n	twenty ty	ʕ ɨ ʃ r + i n	20 14	the tens 20-90 are loans from arabic. while some of them could be derived from the units, I preferred to mark them as separated morphemes	Elias2014Tigre
25	tigr1270	twenty one	ʿəšrin wa-ʾoro	ʕɨʃrin wa-ʔoro	ʕ ɨ ʃ r + i n + w a + ʔ o r o	twenty ty and one1	ʕ ɨ ʃ r + i n + w a + ʔ o r o	20 14 13 1		Elias2014Tigre
26	tigr1270	twenty one	ʿəšrin wa-ḥatta	ʕɨʃrin wa-ħatta	ʕ ɨ ʃ r + i n + w a + ħ a t t a	twenty ty and one2	ʕ ɨ ʃ r + i n + w a + ħ a t t a	20 14 13 2		Elias2014Tigre
27	tigr1270	twenty two	ʿəšrin wa-kəlʾot	ʕɨʃrin wa-kɨlʔot	ʕ ɨ ʃ r + i n + w a + k ɨ l ʔ -/e + o t	twenty ty and two suff_gender	ʕ ɨ ʃ r + i n + w a + k ɨ l ʔ -/e + o t	20 14 13 3 12		Elias2014Tigre
28	tigr1270	twenty two	ʿəšrin wa-kəlʾe	ʕɨʃrin wa-kɨlʔe	ʕ ɨ ʃ r + i n + w a + k ɨ l ʔ e	twenty ty and two	ʕ ɨ ʃ r + i n + w a + k ɨ l ʔ e	20 14 13 3		Elias2014Tigre
29	tigr1270	twenty three	ʿəšrin wa-salas 	ʕɨʃrin wa-salas 	ʕ ɨ ʃ r + i n + w a + s a l a s	twenty ty and three	ʕ ɨ ʃ r + i n + w a + s a l a s	20 14 13 4		Elias2014Tigre
30	tigr1270	twenty four	ʿəšrin wa-ʾarbaʿ	ʕɨʃrin wa-ʔarbaʕ	ʕ ɨ ʃ r + i n + w a + ʔ a r b a ʕ	twenty ty and four	ʕ ɨ ʃ r + i n + w a + ʔ a r b a ʕ	20 14 13 5		Elias2014Tigre
31	tigr1270	twenty five	ʿəšrin wa-ḥaməs	ʕɨʃrin wa-ħamɨs	ʕ ɨ ʃ r + i n + w a + ħ a m ɨ s	twenty ty and five	ʕ ɨ ʃ r + i n + w a + ħ a m ɨ s	20 14 13 6		Elias2014Tigre
32	tigr1270	twenty six	ʿəšrin wa-səs	ʕɨʃrin wa-sɨs	ʕ ɨ ʃ r + i n + w a + s ɨ s	twenty ty and six	ʕ ɨ ʃ r + i n + w a + s ɨ s	20 14 13 7		Elias2014Tigre
33	tigr1270	twenty seven	ʿəšrin wa-sabəʿ	ʕɨʃrin wa-sabɨʕ	ʕ ɨ ʃ r + i n + w a + s a b ɨ ʕ	twenty ty and seven	ʕ ɨ ʃ r + i n + w a + s a b ɨ ʕ	20 14 13 8		Elias2014Tigre
34	tigr1270	twenty eight	ʿəšrin wa-samān	ʕɨʃrin wa-samaːn	ʕ ɨ ʃ r + i n + w a + s a m aː n	twenty ty and eight	ʕ ɨ ʃ r + i n + w a + s a m aː n	20 14 13 9		Elias2014Tigre
35	tigr1270	twenty nine	ʿəšrin wa-səʿ	ʕɨʃrin wa-sɨʕ	ʕ ɨ ʃ r + i n + w a + s ɨ ʕ	twenty ty and nine	ʕ ɨ ʃ r + i n + w a + s ɨ ʕ	20 14 13 10		Elias2014Tigre
36	tigr1270	thirty	talatin	talatin	t a l a t + i n	thirty ty	t a l a t + i n	30 14		Elias2014Tigre
37	tigr1270	thirty one	talatin wa-ʾoro	talatin wa-ʔoro	t a l a t + i n + w a + ʔ o r o	thirty ty and one1	t a l a t + i n + w a + ʔ o r o	30 14 13 1		Elias2014Tigre
38	tigr1270	thirty one	talatin wa-ḥatta	talatin wa-ħatta	t a l a t + i n + w a + ħ a t t a	thirty ty and one2	t a l a t + i n + w a + ħ a t t a	30 14 13 2		Elias2014Tigre
39	tigr1270	thirty two	talatin wa-kəlʾot	talatin wa-kɨlʔot	t a l a t + i n + w a + k ɨ l ʔ -/e + o t	thirty ty and two suff_gender	t a l a t + i n + w a + k ɨ l ʔ -/e + o t	30 14 13 3 12		Elias2014Tigre
40	tigr1270	thirty two	talatin wa-kəlʾe	talatin wa-kɨlʔe	t a l a t + i n + w a + k ɨ l ʔ e	thirty ty and two	t a l a t + i n + w a + k ɨ l ʔ e	30 14 13 3		Elias2014Tigre
41	tigr1270	thirty three	talatin wa-salas 	talatin wa-salas 	t a l a t + i n + w a + s a l a s	thirty ty and three	t a l a t + i n + w a + s a l a s	30 14 13 4		Elias2014Tigre
42	tigr1270	thirty four	talatin wa-ʾarbaʿ	talatin wa-ʔarbaʕ	t a l a t + i n + w a + ʔ a r b a ʕ	thirty ty and four	t a l a t + i n + w a + ʔ a r b a ʕ	30 14 13 5		Elias2014Tigre
43	tigr1270	thirty five	talatin wa-ḥaməs	talatin wa-ħamɨs	t a l a t + i n + w a + ħ a m ɨ s	thirty ty and five	t a l a t + i n + w a + ħ a m ɨ s	30 14 13 6		Elias2014Tigre
44	tigr1270	thirty six	talatin wa-səs	talatin wa-sɨs	t a l a t + i n + w a + s ɨ s	thirty ty and six	t a l a t + i n + w a + s ɨ s	30 14 13 7		Elias2014Tigre
45	tigr1270	thirty seven	talatin wa-sabəʿ	talatin wa-sabɨʕ	t a l a t + i n + w a + s a b ɨ ʕ	thirty ty and seven	t a l a t + i n + w a + s a b ɨ ʕ	30 14 13 8		Elias2014Tigre
46	tigr1270	thirty eight	talatin wa-samān	talatin wa-samaːn	t a l a t + i n + w a + s a m aː n	thirty ty and eight	t a l a t + i n + w a + s a m aː n	30 14 13 9		Elias2014Tigre
47	tigr1270	thirty nine	talatin wa-səʿ	talatin wa-sɨʕ	t a l a t + i n + w a + s ɨ ʕ	thirty ty and nine	t a l a t + i n + w a + s ɨ ʕ	30 14 13 10		Elias2014Tigre
48	tigr1270	forty	ʾarbəʿin	ʔarbɨʕin	ʔ a r b ɨ ʕ + i n	forty ty	ʔ a r b ɨ ʕ + i n	40 14		Elias2014Tigre
49	tigr1270	forty one	ʾarbəʿin wa-ʾoro	ʔarbɨʕin wa-ʔoro	ʔ a r b ɨ ʕ + i n + w a + ʔ o r o	forty ty and one1	ʔ a r b ɨ ʕ + i n + w a + ʔ o r o	40 14 13 1		Elias2014Tigre
50	tigr1270	forty one	ʾarbəʿin wa-ḥatta	ʔarbɨʕin wa-ħatta	ʔ a r b ɨ ʕ + i n + w a + ħ a t t a	forty ty and one2	ʔ a r b ɨ ʕ + i n + w a + ħ a t t a	40 14 13 2		Elias2014Tigre
51	tigr1270	forty two	ʾarbəʿin wa-kəlʾot	ʔarbɨʕin wa-kɨlʔot	ʔ a r b ɨ ʕ + i n + w a + k ɨ l ʔ -/e + o t	forty ty and two suff_gender	ʔ a r b ɨ ʕ + i n + w a + k ɨ l ʔ -/e + o t	40 14 13 3 12		Elias2014Tigre
52	tigr1270	forty two	ʾarbəʿin wa-kəlʾe	ʔarbɨʕin wa-kɨlʔe	ʔ a r b ɨ ʕ + i n + w a + k ɨ l ʔ e	forty ty and two	ʔ a r b ɨ ʕ + i n + w a + k ɨ l ʔ e	40 14 13 3		Elias2014Tigre
53	tigr1270	forty three	ʾarbəʿin wa-salas 	ʔarbɨʕin wa-salas 	ʔ a r b ɨ ʕ + i n + w a + s a l a s	forty ty and three	ʔ a r b ɨ ʕ + i n + w a + s a l a s	40 14 13 4		Elias2014Tigre
54	tigr1270	forty four	ʾarbəʿin wa-ʾarbaʿ	ʔarbɨʕin wa-ʔarbaʕ	ʔ a r b ɨ ʕ + i n + w a + ʔ a r b a ʕ	forty ty and four	ʔ a r b ɨ ʕ + i n + w a + ʔ a r b a ʕ	40 14 13 5		Elias2014Tigre
55	tigr1270	forty five	ʾarbəʿin wa-ḥaməs	ʔarbɨʕin wa-ħamɨs	ʔ a r b ɨ ʕ + i n + w a + ħ a m ɨ s	forty ty and five	ʔ a r b ɨ ʕ + i n + w a + ħ a m ɨ s	40 14 13 6		Elias2014Tigre
56	tigr1270	forty six	ʾarbəʿin wa-səs	ʔarbɨʕin wa-sɨs	ʔ a r b ɨ ʕ + i n + w a + s ɨ s	forty ty and six	ʔ a r b ɨ ʕ + i n + w a + s ɨ s	40 14 13 7		Elias2014Tigre
57	tigr1270	forty seven	ʾarbəʿin wa-sabəʿ	ʔarbɨʕin wa-sabɨʕ	ʔ a r b ɨ ʕ + i n + w a + s a b ɨ ʕ	forty ty and seven	ʔ a r b ɨ ʕ + i n + w a + s a b ɨ ʕ	40 14 13 8		Elias2014Tigre
58	tigr1270	forty eight	ʾarbəʿin wa-samān	ʔarbɨʕin wa-samaːn	ʔ a r b ɨ ʕ + i n + w a + s a m aː n	forty ty and eight	ʔ a r b ɨ ʕ + i n + w a + s a m aː n	40 14 13 9		Elias2014Tigre
59	tigr1270	forty nine	ʾarbəʿin wa-səʿ	ʔarbɨʕin wa-sɨʕ	ʔ a r b ɨ ʕ + i n + w a + s ɨ ʕ	forty ty and nine	ʔ a r b ɨ ʕ + i n + w a + s ɨ ʕ	40 14 13 10		Elias2014Tigre
60	tigr1270	fifty	ḥamsin	ħamsin	ħ a m s + i n	fifty ty	ħ a m s + i n	50 14		Elias2014Tigre
61	tigr1270	fifty one	ḥamsin wa-ʾoro	ħamsin wa-ʔoro	ħ a m s + i n + w a + ʔ o r o	fifty ty and one1	ħ a m s + i n + w a + ʔ o r o	50 14 13 1		Elias2014Tigre
62	tigr1270	fifty one	ḥamsin wa-ḥatta	ħamsin wa-ħatta	ħ a m s + i n + w a + ħ a t t a	fifty ty and one2	ħ a m s + i n + w a + ħ a t t a	50 14 13 2		Elias2014Tigre
63	tigr1270	fifty two	ḥamsin wa-kəlʾot	ħamsin wa-kɨlʔot	ħ a m s + i n + w a + k ɨ l ʔ -/e + o t	fifty ty and two suff_gender	ħ a m s + i n + w a + k ɨ l ʔ -/e + o t	50 14 13 3 12		Elias2014Tigre
