ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
1	Mapudungun	one	kiñe	kiɲe	k i ɲ e	8	one	Mapudungun2 Mapudungun1[15]	Mapudungun5 offers all numbers from 1 to 100. It is a manuscript done in a Mapudungun school; it only contains a few typos that I have corrected based on all other sources, i.e. Mapudungun1, Mapudungun2, Mapudungun3 and Mapudungun4.
2	Mapudungun	two	epu	epu	e p u	1	two	Mapudungun2 Mapudungun1[15]	In the previous work, my main source was Mapudungun2, which is a reference dictionary hosted on the site of the University of Temuco. However, it is currently offline (I do not know why).
3	Mapudungun	three	küla	kɘla	k ɘ l a	7	three	Mapudungun2 Mapudungun1[15]	Another source for numerals in Mapudungun is Chan's website (https://lingweb.eva.mpg.de/channumerals/Mapudungun.htm), which is a source we will site in general. However, the orthography and the phonetic/phonological interpretation I report here is slightly different on the basis of the available literature.
4	Mapudungun	four	meli	meli	m e l i	9	four	Mapudungun2 Mapudungun1[15]	Regarding the phonological interpretation, I mostly refer to Mapudungun4
5	Mapudungun	five	kechu	ketʃu	k e tʃ u	6	five	Mapudungun2 Mapudungun1[15]
6	Mapudungun	six	kayu	kaju	k a j u	5	six	Mapudungun2 Mapudungun1[15]	
7	Mapudungun	seven	regle	ʐeɣle	ʐ e ɣ l e	10	seven	Mapudungun2 Mapudungun1[15]	
8	Mapudungun	eight	pura	puʐa	p u ʐ a	2	eight	Mapudungun2 Mapudungun1[15]	
9	Mapudungun	nine	aylla	ajʎa	a j ʎ a	4	nine	Mapudungun2 Mapudungun1[15]	
10	Mapudungun	ten	mari	maʐi	m a ʐ i	3	ten	Mapudungun2 Mapudungun1[15]	
11	Mapudungun	eleven	mari kiñe	maʐi kiɲe	m a ʐ i + k i ɲ e	3 8	ten one	Mapudungun2 Mapudungun1[15]	
12	Mapudungun	twelve	mari epu	maʐi epu	m a ʐ i + e p u	3 1	ten two	Mapudungun2	
13	Mapudungun	thirteen	mari küla	maʐi kɘla	m a ʐ i + k ɘ l a	3 7	ten three	Mapudungun2	
14	Mapudungun	fourteen	mari meli	maʐi meli	m a ʐ i + m e l i	3 9	ten four	Mapudungun2	
15	Mapudungun	fifteen	mari kechu	maʐi ketʃu	m a ʐ i + k e tʃ u	3 6	ten five	Mapudungun2
16	Mapudungun	sixteen	mari kayu	maʐi kaju	m a ʐ i + k a j u	3 5	ten six	Mapudungun2	
17	Mapudungun	seventeen	mari regle	maʐi ʐeɣle	m a ʐ i + ʐ e ɣ l e	3 10	ten seven	Mapudungun2	
18	Mapudungun	eighteen	mari pura	maʐi puʐa	m a ʐ i + p u ʐ a	3 2	ten eight	Mapudungun2	
19	Mapudungun	nineteen	mari aylla	maʐi ajʎa	m a ʐ i + a j ʎ a	3 4	ten nine	Mapudungun2	
20	Mapudungun	twenty	epu mari	epu maʐi	e p u + m a ʐ i	1 3	two ten	Mapudungun2 Mapudungun1[15]	
21	Mapudungun	twenty one	epu mari kiñe	epu maʐi kiɲe	e p u + m a ʐ i + k i ɲ e	1 3 8	two ten one	Mapudungun2	
22	Mapudungun	twenty two	epu mari epu	epu maʐi epu	e p u + m a ʐ i + e p u	1 3 1	two ten two	Mapudungun2	
23	Mapudungun	twenty three	epu mari küla	epu maʐi kɘla	e p u + m a ʐ i + k ɘ l a	1 3 7	two ten three	Mapudungun2	
24	Mapudungun	twenty four	epu mari meli	epu maʐi meli	e p u + m a ʐ i + m e l i	1 3 9	two ten four	Mapudungun2	
25	Mapudungun	twenty five	epu mari kechu	epu maʐi ketʃu	e p u + m a ʐ i + k e tʃ u	1 3 6	two ten five	Mapudungun2
26	Mapudungun	twenty six	epu mari kayu	epu maʐi kaju	e p u + m a ʐ i + k a j u	1 3 5	two ten six	Mapudungun2	
27	Mapudungun	twenty seven	epu mari regle	epu maʐi ʐeɣle	e p u + m a ʐ i + ʐ e ɣ l e	1 3 10	two ten seven	Mapudungun2	
28	Mapudungun	twenty eight	epu mari pura	epu maʐi puʐa	e p u + m a ʐ i + p u ʐ a	1 3 2	two ten eight	Mapudungun2 Mapudungun1[15]	
29	Mapudungun	twenty nine	epu mari aylla	epu maʐi ajʎa	e p u + m a ʐ i + a j ʎ a	1 3 4	two ten nine	Mapudungun2	
30	Mapudungun	thirty	küla mari	kɘla maʐi	k ɘ l a + m a ʐ i	7 3	three ten	Mapudungun2	
