ID	DOCULECT	CONCEPT	ORTHOGRAPHIC	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	SOURCE	NOTE
1	Burmese	one	tac	tɪʔ	t ɪ ʔ	one	t ɪ ʔ	1	Okell2002BurmeseByEar	တစ်
2	Burmese	two	hnac	n̥ɪʔ	n̥ ɪ ʔ	two	n̥ ɪ ʔ	2	Okell2002BurmeseByEar	နှစ်
3	Burmese	three	sone:	θóʊɰ̃	θ óʊ ɰ̃	three	θ óʊ ɰ̃	3	Okell2002BurmeseByEar	သုံး
4	Burmese	four	le:	lé	l é	four	l é	4	Okell2002BurmeseByEar	လေး
5	Burmese	five	nga:	ŋá	ŋ á	five	ŋ á	5	Okell2002BurmeseByEar	ငါး
6	Burmese	six	hkrauk	tɕʰaʊʔ	tɕʰ aʊ ʔ	six	tɕʰ aʊ ʔ	6	Okell2002BurmeseByEar	ခြောက်
7	Burmese	seven	hku.nac	kʰʊ̀ɰ̃n̥ɪʔ	kʰ ʊ̀ ɰ̃ n̥ ɪ ʔ	seven	kʰ ʊ̀ ɰ̃ n̥ ɪ ʔ	7	Okell2002BurmeseByEar	ခုနစ်
8	Burmese	eight	hrac	ʃɪʔ	ʃ ɪ ʔ	eight	ʃ ɪ ʔ	8	Okell2002BurmeseByEar	ရှစ်
9	Burmese	nine	ko:	kó	k ó	nine	k ó	9	Okell2002BurmeseByEar	ကိုး
10	Burmese	ten	tacsai	tɪʔsʰɛ́	t ɪ ʔ + sʰ ɛ́/ɛ̰	one ten	t ɪ ʔ + sʰ ɛ́/ɛ̰	1 10	Okell2002BurmeseByEar	တစ်ဆယ်
11	Burmese	eleven	hsai.tac	sʰɛ̰tɪʔ	sʰ ɛ̰ + t ɪ ʔ	ten one	sʰ ɛ̰ + t ɪ ʔ	10 1	Okell2002BurmeseByEar	ဆယ့်တစ်
12	Burmese	twelve	hsai.hnac	sʰɛ̰n̥ɪʔ	sʰ ɛ̰ + n̥ ɪ ʔ	ten two	sʰ ɛ̰ + n̥ ɪ ʔ	10 2	Okell2002BurmeseByEar	ဆယ့်နှစ်
13	Burmese	thirteen	hsai.sone:	sʰɛ̰θóʊɰ̃	sʰ ɛ̰ + θ óʊ ɰ̃	ten three	sʰ ɛ̰ + θ óʊ ɰ̃	10 3	Okell2002BurmeseByEar	ဆယ့်သုံး
14	Burmese	fourteen	hsai.le:	sʰɛ̰lé	sʰ ɛ̰ + l é	ten four	sʰ ɛ̰ + l é	10 4	Okell2002BurmeseByEar	ဆယ့်လေး
15	Burmese	fifteen	hsai.nga:	sʰɛ̰ŋá	sʰ ɛ̰ + ŋ á	ten five	sʰ ɛ̰ + ŋ á	10 5	Okell2002BurmeseByEar	ဆယ့်ငါး
