ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
1	Paraguayan_Guarani	one	peteĩ	peteĩ	p e t e ĩ	10	one1	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	Guarani-speaking people originally counted up to four. The present Paraguayan Guarani numeral system is attributed to Reinaldo Decoud Larrosa.
2	Paraguayan_Guarani	two	mokõi	mokõi	m o k õ i	2	two1	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	/eĩ/ and /õi/ should be diphthongs. In the available literature (ParaguayanGuarani1, ParaguayanGuarani3, ParaguayanGuarani4), I find no evidence that diphthongs are monophonematic units. I only find some evidence that they are not in ParaguayanGuarani1[29-30], where they are considered vowel sequences, so I also consider the two separate units. When /i/ in a diphthong is realized as a glide, it is still represented as /i/ in ParaguayanGuarani1[29-30], which I follow here.
3	Paraguayan_Guarani	three	mbohapy	ᵐbohapɨ	ᵐb o h a p ɨ	7	three1	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	
4	Paraguayan_Guarani	four	irundy	iɾuⁿdɨ	i ɾ u ⁿd ɨ	1	four	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	
5	Paraguayan_Guarani	five	po	po	p o	3	five	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	
6	Paraguayan_Guarani	six	poteĩ	poteĩ	p o + t e ĩ	3 11	five one2	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	the morpheme teĩ is the shortened form of peteĩ
7	Paraguayan_Guarani	seven	pokõi	pokõi	p o + k õ i	3 9	five two2	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	the morpheme kõi is the shortened form of mokõi
8	Paraguayan_Guarani	eight	poapy	poapɨ	p o + a p ɨ	3 6	five three2	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	the morpheme apɨ is the shortened form of ᵐbohapɨ
9	Paraguayan_Guarani	nine	porundy	poɾuⁿdɨ	p o + -/i ɾ u ⁿd ɨ	3 1	five four	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	the morpheme ɾuⁿdɨ is the shortened form of iɾuⁿdɨ
10	Paraguayan_Guarani	ten	pa	pa	p a	8	ten	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	pa stems from "opa ‘end, totality, complete’, because 10 is the modern decimal system." (ParaguayanGuarani1[100])
11	Paraguayan_Guarani	eleven	pateĩ	pateĩ	p a + t e ĩ	8 11	ten one2	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	
12	Paraguayan_Guarani	twelve	pakõi	pakõi	p a + k õ i	8 9	ten two2	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	
13	Paraguayan_Guarani	thirteen	pa'apy	paʔapɨ	p a + ʔ + a p ɨ	8 4 6	ten INSERTION three2	ParaguayanGuarani1[100] ParaguayanGuarani2[152]	
