ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Iraqw	one	wak	w a k	one	w a k	6	Mous 1993 states that 1-9 all have high tone, but the later dictionary does not mark high tone on ONE and SEVEN	Mous1993
2	Iraqw	two	tsár	ts’ á r	two	ts’ á r	12		Mous1993
3	Iraqw	three	tám	t á m	three	t á m	11		Mous1993
4	Iraqw	four	tsiyáhh	ts’ i y á ħ	four	ts’ i y á ħ	4		Mous1993
5	Iraqw	five	koo’án	k oː ʔ á n	five	k oː ʔ á n	3		Mous1993
6	Iraqw	six	lahhóo’	l a ħ óː ʔ	six	l a ħ óː ʔ	8		Mous1993
7	Iraqw	seven	faanqw	f aː n qʷ	seven	f aː n qʷ	7		Mous1993
8	Iraqw	eight	dakáat	d a k áː t	eight	d a k áː t	2		Mous1993
9	Iraqw	nine	gwaléel	gʷ a l éː l	nine	gʷ a l éː l	5		Mous1993
10	Iraqw	ten	mibangw	m i b a ŋ w	ten	m i b a ŋ w	9		Mous1993
11	Iraqw	eleven	mibangw nee wak 	m i b a ŋ w + n eː + w a k	ten and one	m i b a ŋ w + n eː + w a k	9 1 6		Mous1993
12	Iraqw	twelve	mibangw nee tsár 	m i b a ŋ w + n eː + ts’ á r	ten and two	m i b a ŋ w + n eː + ts’ á r	9 1 12		Mous1993
13	Iraqw	thirteen	mibangw nee tám 	m i b a ŋ w + n eː + t á m	ten and three	m i b a ŋ w + n eː + t á m	9 1 11		Mous1993
14	Iraqw	fourteen	mibangw nee tsiyáhh 	m i b a ŋ w + n eː + ts’ i y á ħ	ten and four	m i b a ŋ w + n eː + ts’ i y á ħ	9 1 4		Mous1993
15	Iraqw	fifteen	mibangw nee koo’án 	m i b a ŋ w + n eː + k oː ʔ á n	ten and five	m i b a ŋ w + n eː + k oː ʔ á n	9 1 3		Mous1993
16	Iraqw	sixteen	mibangw nee lahhóo’ 	m i b a ŋ w + n eː + l a ħ óː ʔ	ten and six	m i b a ŋ w + n eː + l a ħ óː ʔ	9 1 8		Mous1993
17	Iraqw	seventeen	mibangw nee faanqw 	m i b a ŋ w + n eː + f aː n qʷ	ten and seven	m i b a ŋ w + n eː + f aː n qʷ	9 1 7		Mous1993
18	Iraqw	eighteen	mibangw nee dakáat 	m i b a ŋ w + n eː + d a k áː t	ten and eight	m i b a ŋ w + n eː + d a k áː t	9 1 2		Mous1993
19	Iraqw	nineteen	mibangw nee gwaléel 	m i b a ŋ w + n eː + gʷ a l éː l	ten and nine	m i b a ŋ w + n eː + gʷ a l éː l	9 1 5		Mous1993
